index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,0.9295217763587971,1.967197965686637
0,polygon,1,6.156666030302404,5636.828703715604
0,polygon,2,481.82679313906146,5898.1859164127245
0,polygon,3,466.1453603772343,5412.0615007960805
0,polygon,4,466.1453603772343,5046.161403020112
0,polygon,5,622.9596879955066,4706.397026513855
0,polygon,6,711.8211403125274,4424.131236800965
0,polygon,7,769.3197271058934,3802.101070581818
0,polygon,8,894.7711892005113,3582.5610119162375
0,polygon,9,941.8154874859929,3363.020953250656
0,polygon,10,947.0426317399351,3159.162327346902
0,polygon,11,1035.9040840569564,2782.807941063048
0,polygon,12,899.9983334544536,2338.500679477944
0,polygon,13,988.8597857714744,2118.9606208123623
0,polygon,14,1286.8070082461918,1862.8305523691843
0,polygon,15,1553.3913651972543,1742.606234528509
0,polygon,16,1715.4328370694689,1533.5204643708125
0,polygon,17,1767.704279608893,1408.0690022761946
0,polygon,18,1799.0671451325475,1235.5732418960952
0,polygon,19,1788.6128566246625,1099.6674912935928
0,polygon,20,1788.6128566246625,932.3988751674356
0,polygon,21,1929.7457514811076,315.5958532022312
0,polygon,22,2013.3800595441858,111.73722729847736
0,polygon,23,2023.8343480520707,7.194342219629107
0,polygon,24,1093.402670850322,-3.2599462882558328
