"cell_type","cell_type_color"
"B_cell","#401F7A"
"Basophil","#FF6978"
"Endothelial","#080066"
"Eosinophil","#e5569fff"
"Fibroblast","#DDC4DD"
"Keratinocyte","#6B0504"
"Leukocyte","#189cd5ff"
"Lymphatic","#fec911"
"Macrophages","#42b649ff"
"Monocytes","#eae71cff"
"Neutrophils","#3BA99C"
"NK","#FA8334"
"NKT","#8A6C0B"
"pDC","#00E5E8"
"T_cytotoxic","#D72638"
"T_helper","#0d522aff"
"T_regulatory","#f9ae1dff"
