index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,2.9792797980551313,6.308600390865649
0,polygon,1,-3.464617259546685,5322.52367291258
0,polygon,2,260.7351621021385,5702.713599311102
0,polygon,3,260.7351621021385,5296.748084682172
0,polygon,4,447.60817677259865,4877.894775938037
0,polygon,5,821.3542061135192,4136.8466143137975
0,polygon,6,1253.0953089728584,3995.0808790465517
0,polygon,7,1388.4171471825023,3962.8613937585415
0,polygon,8,1607.5096471409727,3717.993305569663
0,polygon,9,1671.9486177169936,3511.7885997263957
0,polygon,10,1646.1730294865854,3408.686246804763
0,polygon,11,1691.2803088897997,3305.5838938831293
0,polygon,12,1981.2556764818935,2951.169555715015
0,polygon,13,2142.3531029219457,2603.199114604503
0,polygon,14,2226.1237646707723,2454.989482279655
0,polygon,15,2342.11391170761,2351.8871293580223
0,polygon,16,2451.6601616868447,2306.779849954807
0,polygon,17,2535.430823435672,2242.3408793787867
0,polygon,18,2593.4258969540906,2113.462938226745
0,polygon,19,2593.4258969540906,2049.0239676507244
0,polygon,20,2619.201485184499,1952.3655117866929
0,polygon,21,3237.8156027142986,2190.7897029179703
0,polygon,22,3766.215161437669,2210.1213940907764
0,polygon,23,4139.961190778589,2190.7897029179703
0,polygon,24,4088.410014317773,2119.906835284347
0,polygon,25,3295.810676232717,2003.9166882475101
0,polygon,26,2702.9721469333263,1842.8192618074581
0,polygon,27,2644.977073414907,1636.614555964191
0,polygon,28,2896.2890586613885,1101.771100183219
0,polygon,29,3025.1669998134294,902.0102913975543
0,polygon,30,3205.5961174262875,682.9177914390839
0,polygon,31,3701.7761908616476,760.2445561303084
0,polygon,32,4036.8588378569557,747.3567620151043
0,polygon,33,4081.966117260171,689.3616884966859
0,polygon,34,3630.893323228025,-0.13529666673684915
0,polygon,35,2.9792797980551313,6.308600390865649
